기간	자치구	동	합계	합계	합계	국민기초생활보장수급권자	국민기초생활보장수급권자	국민기초생활보장수급권자	저소득노인	저소득노인	저소득노인	일반	일반	일반
기간	자치구	동	계	65세~79세	80세이상	계	65세~79세	80세이상	계	65세~79세	80세이상	계	65세~79세	80세이상
2019	광진구	자양1동	834	627	207	226	163	63	67	43	24	541	421	120
2019	광진구	자양2동	693	503	190	158	121	37	40	27	13	495	355	140
2019	광진구	자양3동	644	400	244	85	71	14	35	11	24	524	318	206
2019	광진구	자양4동	919	688	231	239	187	52	65	29	36	615	472	143
2019	동대문구	소계	15,477	11,935	3,542	4,201	3,064	1,137	1,014	665	349	10,262	8,206	2,056
2019	동대문구	회기동	364	244	120	65	43	22	27	16	11	272	185	87
2019	동대문구	휘경1동	604	457	147	133	91	42	49	28	21	422	338	84
2019	동대문구	휘경2동	783	593	190	127	85	42	47	29	18	609	479	130
2019	동대문구	청량리동	1,667	1,272	395	620	489	131	107	82	25	940	701	239
2019	동대문구	용신동	1,661	1,277	384	587	403	184	81	54	27	993	820	173
2019	동대문구	제기동	1,691	1,288	403	488	386	102	127	90	37	1,076	812	264
2019	동대문구	전농1동	1,633	1,257	376	568	445	123	121	88	33	944	724	220
2019	동대문구	전농2동	691	530	161	175	114	61	54	35	19	462	381	81
2019	동대문구	답십리1동	778	581	197	177	128	49	52	24	28	549	429	120
2019	동대문구	답십리2동	1,149	872	277	340	235	105	82	51	31	727	586	141
2019	동대문구	장안1동	1,205	955	250	289	206	83	86	51	35	830	698	132
2019	동대문구	장안2동	1,684	1,458	226	230	164	66	62	38	24	1,392	1,256	136
2019	동대문구	이문1동	771	547	224	166	116	50	47	33	14	558	398	160
2019	동대문구	이문2동	796	604	192	236	159	77	72	46	26	488	399	89
2019	중랑구	소계	16,157	12,666	3,491	4,826	3,408	1,418	844	486	358	10,487	8,772	1,715
2019	중랑구	면목2동	1,032	872	160	305	213	92	63	34	29	664	625	39
2019	중랑구	면목4동	933	764	169	344	265	79	40	29	11	549	470	79
2019	중랑구	면목5동	365	261	104	99	65	34	22	11	11	244	185	59
2019	중랑구	면목7동	624	470	154	224	154	70	45	24	21	355	292	63
2019	중랑구	상봉1동	1,800	1,426	374	306	218	88	50	19	31	1,444	1,189	255
2019	중랑구	상봉2동	748	598	150	206	151	55	28	15	13	514	432	82
2019	중랑구	중화1동	695	554	141	166	117	49	36	18	18	493	419	74
2019	중랑구	중화2동	1,182	956	226	506	383	123	75	50	25	601	523	78
2019	중랑구	묵1동	773	597	176	200	119	81	47	27	20	526	451	75
2019	중랑구	묵2동	757	614	143	222	165	57	44	26	18	491	423	68
