기간	자치구	동	합계	합계	합계	국민기초생활보장수급권자	국민기초생활보장수급권자	국민기초생활보장수급권자	저소득노인	저소득노인	저소득노인	일반	일반	일반
기간	자치구	동	계	65세~79세	80세이상	계	65세~79세	80세이상	계	65세~79세	80세이상	계	65세~79세	80세이상
2019	관악구	서원동	746	588	158	144	108	36	25	13	12	577	467	110
2019	관악구	신원동	870	659	211	204	151	53	52	31	21	614	477	137
2019	관악구	서림동	793	602	191	144	109	35	24	9	15	625	484	141
2019	관악구	신사동	889	701	188	232	155	77	36	24	12	621	522	99
2019	관악구	신림동	573	452	121	123	98	25	16	9	7	434	345	89
2019	관악구	난향동	605	437	168	158	93	65	32	18	14	415	326	89
2019	관악구	조원동	698	509	189	140	96	44	27	17	10	531	396	135
2019	관악구	대학동	666	494	172	104	79	25	24	14	10	538	401	137
2019	관악구	은천동	1,290	1,011	279	374	266	108	75	49	26	841	696	145
2019	관악구	성현동	1,201	863	338	401	244	157	52	28	24	748	591	157
2019	관악구	청룡동	1,148	898	250	230	177	53	46	31	15	872	690	182
2019	관악구	난곡동	1,356	1,041	315	387	262	125	63	45	18	906	734	172
2019	관악구	삼성동	1,556	1,157	399	436	287	149	104	61	43	1,016	809	207
2019	관악구	미성동	1,180	914	266	222	159	63	59	35	24	899	720	179
2019	서초구	소계	9,405	7,158	2,247	1,494	1,023	471	370	227	143	7,541	5,908	1,633
2019	서초구	서초1동	518	375	143	117	75	42	12	4	8	389	296	93
2019	서초구	서초2동	313	244	69	28	21	7	9	5	4	276	218	58
2019	서초구	서초3동	688	538	150	83	58	25	17	11	6	588	469	119
2019	서초구	서초4동	397	283	114	14	12	2	7	3	4	376	268	108
2019	서초구	잠원동	703	490	213	76	52	24	13	8	5	614	430	184
2019	서초구	반포본동	247	177	70	3	1	2	4	1	3	240	175	65
2019	서초구	반포1동	583	476	107	86	73	13	24	16	8	473	387	86
2019	서초구	반포2동	181	139	42	2	2	-	1	-	1	178	137	41
2019	서초구	반포3동	382	259	123	4	4	-	5	4	1	373	251	122
2019	서초구	반포4동	380	276	104	17	9	8	9	5	4	354	262	92
2019	서초구	방배본동	447	317	130	59	43	16	17	10	7	371	264	107
2019	서초구	방배1동	438	330	108	83	55	28	14	8	6	341	267	74
2019	서초구	방배2동	685	548	137	132	89	43	41	21	20	512	438	74
2019	서초구	방배3동	554	416	138	76	46	30	29	25	4	449	345	104
2019	서초구	방배4동	579	433	146	80	55	25	15	9	6	484	369	115
2019	서초구	양재1동	1,215	960	255	401	269	132	93	51	42	721	640	81
2019	서초구	양재2동	576	485	91	137	104	33	28	22	6	411	359	52
2019	서초구	내곡동	519	412	107	96	55	41	32	24	8	391	333	58
2019	강남구	소계	12,358	9,434	2,924	2,959	2,246	713	213	119	94	9,186	7,069	2,117
2019	강남구	신사동	425	290	135	45	35	10	11	6	5	369	249	120
2019	강남구	논현1동	571	455	116	117	99	18	11	7	4	443	349	94
2019	강남구	논현2동	470	368	102	79	66	13	13	8	5	378	294	84
2019	강남구	삼성1동	261	205	56	26	17	9	5	3	2	230	185	45
2019	강남구	삼성2동	539	414	125	70	54	16	8	7	1	461	353	108
2019	강남구	대치1동	163	118	45	1	1	-	4	3	1	158	114	44
2019	강남구	대치4동	371	310	61	73	57	16	6	5	1	292	248	44
2019	강남구	역삼1동	710	568	142	139	113	26	21	12	9	550	443	107
2019	강남구	역삼2동	506	397	109	55	44	11	15	11	4	436	342	94
2019	강남구	도곡1동	407	289	118	33	25	8	6	2	4	368	262	106
2019	강남구	도곡2동	542	389	153	17	11	6	3	1	2	522	377	145
2019	강남구	개포1동	331	249	82	55	38	17	12	6	6	264	205	59
2019	강남구	개포4동	412	325	87	112	84	28	16	9	7	284	232	52
2019	강남구	일원본동	398	273	125	11	8	3	7	5	2	380	260	120
2019	강남구	일원1동	793	630	163	382	275	107	15	6	9	396	349	47
2019	강남구	일원2동	839	682	157	368	301	67	8	4	4	463	377	86
2019	강남구	수서동	1,529	1,237	292	929	701	228	12	1	11	588	535	53
2019	강남구	세곡동	1,045	694	351	293	209	84	13	6	7	739	479	260
2019	강남구	압구정동	726	491	235	25	17	8	4	2	2	697	472	225
2019	강남구	청담동	483	390	93	47	33	14	9	5	4	427	352	75
2019	강남구	대치2동	457	359	98	41	31	10	8	5	3	408	323	85
2019	강남구	개포2동	380	301	79	41	27	14	6	5	1	333	269	64
2019	송파구	소계	15,717	11,937	3,780	2,827	2,001	826	696	433	263	12,194	9,503	2,691
2019	송파구	풍납1동	642	520	122	161	117	44	17	11	6	464	392	72
2019	송파구	풍납2동	640	495	145	130	92	38	19	6	13	491	397	94
2019	송파구	거여1동	487	390	97	156	109	47	31	17	14	300	264	36
2019	송파구	거여2동	956	684	272	165	129	36	49	38	11	742	517	225
2019	송파구	마천1동	1,000	773	227	155	107	48	67	33	34	778	633	145
2019	송파구	마천2동	877	712	165	235	159	76	69	47	22	573	506	67
2019	송파구	방이1동	282	202	80	24	18	6	17	9	8	241	175	66
2019	송파구	방이2동	956	745	211	192	139	53	44	23	21	720	583	137
2019	송파구	오륜동	240	153	87	3	1	2	1	-	1	236	152	84
2019	송파구	오금동	1,010	740	270	211	136	75	57	33	24	742	571	171
2019	송파구	송파1동	572	465	107	81	64	17	11	6	5	480	395	85
2019	송파구	송파2동	346	253	93	63	42	21	5	3	2	278	208	70
2019	송파구	석촌동	1,263	824	439	294	201	93	30	22	8	939	601	338
2019	송파구	삼전동	848	670	178	283	206	77	36	27	9	529	437	92
2019	송파구	가락본동	704	590	114	127	87	40	31	15	16	546	488	58
2019	송파구	가락1동	33	26	7	7	5	2	1	1	-	25	20	5
2019	송파구	가락2동	537	399	138	89	55	34	26	18	8	422	326	96
2019	송파구	문정1동	381	304	77	58	48	10	7	6	1	316	250	66
2019	송파구	문정2동	361	240	121	15	14	1	2	1	1	344	225	119
2019	송파구	장지동	745	578	167	114	84	30	88	61	27	543	433	110
2019	송파구	위례동	256	196	60	21	12	9	25	14	11	210	170	40
2019	송파구	잠실본동	780	640	140	214	159	55	53	34	19	513	447	66
2019	송파구	잠실4동	289	224	65	2	1	1	-	-	-	287	223	64
2019	송파구	잠실6동	270	204	66	5	3	2	1	1	-	264	200	64
2019	송파구	잠실7동	227	129	98	3	2	1	1	-	1	223	127	96
2019	송파구	잠실2동	408	322	86	6	2	4	7	6	1	395	314	81
2019	송파구	잠실3동	607	459	148	13	9	4	1	1	-	593	449	144
2019	강동구	소계	13,191	10,398	2,793	2,891	2,049	842	929	536	393	9,371	7,813	1,558
2019	강동구	강일동	627	471	156	159	92	67	91	54	37	377	325	52
2019	강동구	상일동	455	379	76	70	50	20	28	11	17	357	318	39
2019	강동구	명일1동	593	437	156	81	54	27	33	19	14	479	364	115
2019	강동구	명일2동	277	194	83	43	23	20	22	10	12	212	161	51
2019	강동구	고덕1동	372	291	81	94	55	39	35	23	12	243	213	30
2019	강동구	고덕2동	513	378	135	151	94	57	42	27	15	320	257	63
2019	강동구	암사2동	355	283	72	36	26	10	25	2	23	294	255	39
2019	강동구	암사3동	291	236	55	30	17	13	16	10	6	245	209	36
2019	강동구	천호1동	1,233	984	249	306	234	72	89	54	35	838	696	142
2019	강동구	천호3동	1,219	967	252	371	274	97	104	76	28	744	617	127
2019	강동구	성내1동	432	351	81	54	43	11	5	3	2	373	305	68
2019	강동구	성내2동	1,067	855	212	222	153	69	73	44	29	772	658	114
2019	강동구	성내3동	682	543	139	115	83	32	40	16	24	527	444	83
2019	강동구	둔촌1동	3	2	1	-	-	-	-	-	-	3	2	1
2019	강동구	둔촌2동	775	590	185	135	87	48	59	26	33	581	477	104
2019	강동구	암사1동	1,304	1,031	273	331	239	92	79	44	35	894	748	146
2019	강동구	천호2동	1,538	1,253	285	429	327	102	111	75	36	998	851	147
2019	강동구	길동	1,455	1,153	302	264	198	66	77	42	35	1,114	913	201
